aplicativo,comentario,nota,classe_alvo
iFood,inventaram ifood vou restaurantes,5,Elogio - Usabilidade do App
iFood,ifood vida amo,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,existindo devolução dinheiro compra item falta erro ifood desrespeito consumidor,2,"Reclamação - Financeiro, Logística e Atendimento"
iFood,suporte deixou desejar vários momentos,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,prático resolve necessidade recomendo,5,Elogio - Variedade e Praticidade
iFood,tento cadastrar cartão swile vai voucher fala dados errados sabendo dados corretos,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,bom achamos coisas baratas almoço todos dias,5,Elogio - Variedade e Praticidade
iFood,funcionando bem tendo centenas opções telas bem intuitivo fácil usar mim,5,Elogio - Usabilidade do App
iFood,sempre bem atendida entrega rápida,5,Elogio - Variedade e Praticidade
iFood,cada dia difícil usar tanta pop up poluição visual aparece,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,algumas ofertas enganosas reais lanche daí olha valor entrega 🤣🤣🧐,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,deus livre ja desinstalei cancelei pedido nao reembolso sendo pedido ate pacote pipoca mercado mo roubo vou voltar delivery much melhor,1,Elogio - Usabilidade do App
iFood,antes dificuldade agora nao,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,fácil prático fazer pedidos so gostaria região entregas rastreamento porque bom saber onde pedido,4,Elogio - Variedade e Praticidade
iFood,bom prático faço pedidos bem atendido,5,Elogio - Variedade e Praticidade
iFood,fácil prático contém muitas promoções boa,5,Elogio - Variedade e Praticidade
iFood,raivadescontaram cartão clube ifood permissão uso clube simplesmente descontado informarem queriaquero reembolsoquero dinheiro volta,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,comprei pelúcia canarinho ifood achei entregue dia tentei cancelar dia consegui esperei tempo entrega passou entregue casa quero dinheiro volta agora nenhuma resposta solução problema,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,valores falsos lanche biggs frango duplo nao reais igual falando promoção reais reais enganação,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,melhor pode existir parabéns atendimento lúcio emmanoel guedes obrigado,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,boas opções bons preços,5,Elogio - Variedade e Praticidade
iFood,demitam programador novo burro utiliza ia programar voltem equipe burra sabe trabalhar bastasse todo click gerar pop ups invasivas irritantes agora paga pedido fica travado cancela pagando burros puxar caroça programar,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,bom rapidez eficiência entregas,5,Elogio - Usabilidade do App
iFood,justificativas frágeis empresa resolve pendências clientes,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,pior pessoa desse horrível,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,funcionando normal previsto,5,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,clube ifood maior farsa valores sao mesmos paga clube todos valores aumentam entao ganha desconto falso,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,bomas vezes umas revoltas valendo,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,ótimo boa qualidade sempre melhores lanches preços vou continuar comprando,5,Elogio - Variedade e Praticidade
iFood,ótimo sempre promoção gosto bastante,5,Elogio - Variedade e Praticidade
iFood,bom erra design pedidos pesquisando comprar deveria alterar deixar parecido lanches aparece opção tendo entrar loja,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,atualização horrível música insuportável ouvindo música carro enquanto volto casa namorada faz pedido ifood nao consigo ouvir música waze música insuportável,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,amo ainda promo,5,Elogio - Variedade e Praticidade
iFood,bom,5,Elogio - Usabilidade do App
iFood,adoroquando quero comer algo diferente gastar sempre escolho ifood,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,clube ifood farsa promoções fake tudo caro nesse bloqueiam uso cupom promoções enganar consumidor péssimo recomendo,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,super bom recomendo bom pode sair casa ir ora lugar longe comprar bom barato cheio ofertas super ipês mega recomendo,5,Elogio - Variedade e Praticidade
iFood,fico feliz aparecido novos apps acabar monopolio ifood tento cancelar clube ifood contratam novamente autorização todo bugado vive dando erros possível visualizar estado pedido páginas carregamento infinito dentre vários outros problemas promoções cupons fracos tipo problema milagrosamente outros apps delivery então raramente peço ifood hoje dia,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,praticidade dia dia atende bem cliente,5,Elogio - Usabilidade do App
iFood,atrasos recorrentes entrega clube aliás atraso queixa entrega comida fria ressarcimento péssimo atendimento sac poucas promoções ativações recomendo dúvida baixa food inclusive avisa chega entrega,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,merece cinco estrelas ótimo rápido,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,sempre algum tipo problema referente pedido prontifica resolver melhor forma possível maneira rápida,5,Elogio - Usabilidade do App
iFood,promoções todos dias bom ifood,5,Elogio - Variedade e Praticidade
iFood,cria expectativas falsas promoções entrar promoções somem pq acham vai gastar dinheiro push cupom falsos pedidos mínimos facilidade entregadores darem golpe vêem número telefone usam final código pegam produto ainda punições brandas pouco monitoramento cima lojas lojas avaliações horríveis sobre limpeza tals faz nada além disso recomenda,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,muinto bom promoçao aparece,4,Elogio - Variedade e Praticidade
iFood,gosto desse atende expectativas,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,top cheio promoções novidades,5,Elogio - Variedade e Praticidade
iFood,aqui fome chance,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,melhor mundo,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,excelente entrega dentro prazo,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,ifood engana cupom clube consegue usar pq lojas pratos promocionais aparece popup promoção entra ver nao consegue comprar dois pratos promocionais mesma loja chato ruim usar ifood gente vai escolher janta fica nervoso raiva desiste,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,dias fome ai abro promoção incrível amo,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,top atendimento simples fácil msm tanta pratica compras on line,5,Elogio - Variedade e Praticidade
iFood,bom dia amor tudo bem,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,ache ótimo reclamar acho super prático,5,Elogio - Usabilidade do App
iFood,adoro facilidade opções qualidade rede proporciona oferecendo melhor rede alimentícia,5,Elogio - Variedade e Praticidade
iFood,oo ruim dá mudar endereço,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,sempre encontro bons restaurantes melhor preço justo,5,Elogio - Variedade e Praticidade
iFood,salva sempre tô fominha comidinhas gostosas amoo,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,excelente nenhuma queixa,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,fazendo entregador burro carga pet shop depósito bebidas mercados otário aceitar,1,"Reclamação - Financeiro, Logística e Atendimento"
iFood,bom amo entregase nunca veio errado amo muitooooooo hahaha,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,top reclamações enquanto,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,excelente ótimas lojas restaurantes,5,Elogio - Variedade e Praticidade
iFood,gostaria saber porquê fas pedido hora revisar aparece qr code pagamento melhor,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,bom muita promoção comida gostosa,5,Elogio - Variedade e Praticidade
iFood,cobrou momento algum informado adesão clube ifood,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,sensacional bom peço sempre,5,Elogio - Variedade e Praticidade
iFood,acho ifood demora enviar coisas rastrear pedido aí erro,1,"Reclamação - Financeiro, Logística e Atendimento"
iFood,gosto td bem explicado,5,Elogio - Usabilidade do App
iFood,fácil usar muitas promoções boas,5,Elogio - Variedade e Praticidade
iFood,bom prático ótimo,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,bom indico suporte sempre resolve caso problemas pedido,5,Elogio - Variedade e Praticidade
iFood,decepção descontos totalmente fantasmas acesso clube pode utilizar nenhum desconto lá pq tudo agora valor mínimo tristeza hein partiu food,1,"Reclamação - Financeiro, Logística e Atendimento"
iFood,pedido chega avaliar loja,2,Elogio - Usabilidade do App
iFood,violador artigo cdc outros tbm gosta violar,1,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,bom principalmente questão cupons ofertas acho poderia ter espécie filtro escolher itensestabelecimentos relevantes itens menos preço exemplo,4,"Reclamação - Financeiro, Logística e Atendimento"
iFood,fato delivery emocionante atrativo acho existe outro melhor sempre cuponzinho desconto deixa pagamento agradável consumidor,5,Elogio - Usabilidade do App
iFood,dois dias úteis splash screen demora ficar mostrando animaçãozinha ridícula trava consigo abrir,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,sei opção bloquear loja pois muitos vendedores mandam coisas horrorosas cliente aceitam críticas ainda faltam respeito ficam desaforo cliente pouco adianta pois sempre nomes fantasias continuar serviços péssimos falência chegue demora lixos,3,"Reclamação - Financeiro, Logística e Atendimento"
iFood,bomas vezes comidas caras propagandas enganosas bom 👍🏼,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,saborosa lembra infância,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,péssimo recebe pedido problemas dinheiro nunca consegue resolver suporte nenhum falar oferecem tal clube cupons compra hora usar nenhuma loja aceita roubo mão aramada cara dura péssimo percam tempo dinheiro,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,bom,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,tal cupons desconto promoção disponível promoção aplica compra cupons entrega grátis aplica compra assina pacote aparece cupons comprar sendo assina,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,horrível nada funciona nesse várias compras fiz mercado cancelam atrasam horas impossível entrar contato atendimento tô prefiro,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,vários cupons promoção várias opções compras facilitando vida gente precisar sair casa recebo compras,5,Elogio - Variedade e Praticidade
iFood,bom sempre preciso 🖒🖒,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,aparece ícone prancheta mercados lista salva,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,péssima experiência recentemente fiz pedido chegou faltando alguns produtos entrei contato ifood fizeram devolução valor pago resumindo dinheiro jogado plataforma ta ai consumidores,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,coloquem opção transferir banco origem pagamos produto reembolsam carteira fica preso loja mínimo absurdo ter função pessoa quiser comprar ifood vai comprar invés prendendo dinheiro carteira obrigar comprar novamente,1,"Reclamação - Financeiro, Logística e Atendimento"
iFood,vezes decepciona recentemente fiz pedido restaurante pedido atrasou final cancelou pedido esperei duas horas chegar ainda fiquei fome reclama próprio restaurante pq dizia próprio restaurante entregadores fazer pedido falei restaurante entregadores próprio ifood pedido pronto hora nenhum entregador próprio ifood quis fazer entrega,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,momento ótimo começo pouco tempo,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,amo ifood inteira responsabilidade cliente,5,Elogio - Variedade e Praticidade
iFood,motoboy nao chamou imagens segurança mostra sentado olhando portao pedido cancelado reembolso quero dinheiro,1,"Reclamação - Financeiro, Logística e Atendimento"
iFood,boas ofertas salva cidade,5,Elogio - Variedade e Praticidade
iFood,melhor delivery mundo,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,melhor pedir comidasempre,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,revolucionou demais amo vivo,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,atendimento horrível resolução problemas,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,bom faltou promoção desconto entrega valor outros aplicativos,5,Elogio - Elogios Gerais e Qualidade de Entregas
iFood,péssimo permitem avaliar qdo dá tudo certo lojas péssimas cancelam pedido horas dar satisfação seguem fazendo gente trouxa sequer dar possibilidade reclamar ifood dá suporte cliente alternativas válidas reclamar desse tipo situação tenta encaixar alguma outra alternativa próprio atendimento ifood encerra outra forma gente ouvido insatisfação pouco melhorar ficar ruim,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
iFood,ótimo melhor comida mundo,5,Elogio - Variedade e Praticidade
iFood,sempre boa opção escolha aproveitar,5,Elogio - Variedade e Praticidade
iFood,ótimo deveria ter opções mercado comprar verona vezes cansada pedido nada,3,"Reclamação - Financeiro, Logística e Atendimento"
iFood,comer sair casa 👍👍 topzera,5,Elogio - Variedade e Praticidade
Delivery Much,ótimo gosto uso,5,Elogio - Variedade e Praticidade
Delivery Much,ótimo tanto trabalha tanto compra faria chat tipo ifood cliente falar loja caso aconteça algo,5,Elogio - Variedade e Praticidade
Delivery Much,excelente avaliações estabelecimentos deveria aparecer comentário avaliação cada cliente,5,Elogio - Variedade e Praticidade
Delivery Much,péssima qualidade permite fazer entrega vários lugares cidade enquanto demais todos fazem,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,adoro pedir delivery much,5,Elogio - Variedade e Praticidade
Delivery Much,horrível vive travado some cupom recomendo,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,nao posso reclamar bom bastante opções so muita taxa pagar paga taxa restaurante perdir embalagem taxa entrega maioria vezes sai caro pedir própria empresa,3,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,lixo loja aceita pedido envia cancela perde tempo esperando tbm oportunidade comprar outro lugar avaliar loja mesma recebe nenhum tipo punição lixo,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,todo bugado suporte cliente pior ainda faz quase mês tô tentando reembolso pedido deu problema enfim péssimo,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,bomsempre entregando preciso,5,Elogio - Elogios Gerais e Qualidade de Entregas
Delivery Much,consigo inserir cupons desconto,5,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,senti falta suporte atendimento rápido fiz pedido recebi veio incompleto nao consegui acesso restaurante suporte chat nao deu nenhum retorno momento,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,acertei brasil terminaria primeiro tempo empatado egito deram cupom,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,achei super rápidoe gostoso,5,Elogio - Elogios Gerais e Qualidade de Entregas
Delivery Much,gostei muitas opções comida fica difícil escolher sempre vou comprar achei pouco difícil fazer compra ficasse fácil melhor,5,Elogio - Usabilidade do App
Delivery Much,cobra taxinha pedido funciona bem,4,Elogio - Usabilidade do App
Delivery Much,fácil prático lidar,5,Elogio - Usabilidade do App
Delivery Much,trava mostra todas opções facilmente lembro encontrar problemas,5,Elogio - Usabilidade do App
